x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZX04-000300-fore_q_simple_Grh1Q-long,15.43,-35.83,-24.32,194.25,19.68,13,9,21.30,0.78,929,1.36,13.59,50.25,0.72,55.20
ZX04-000300-fore_q_simple_Grh1Q-指数,5.30,-46.70,-42.53,147.77,7.01,12,9,23.22,0.34,1362,1.49,2.15,34.41,0.23,52.58
ZX04-000300-fore_q_simple_Grh1Qlong-指数,8.60,-20.51,-20.11,64.76,11.63,15,13,10.00,0.88,239,0.64,10.51,25.02,0.86,55.00
ZX04-000300-fore_q_simple_GrhTTM-long,16.68,-38.95,-30.71,208.99,20.38,13,8,22.62,0.80,912,1.45,15.56,42.24,0.74,53.93
ZX04-000300-fore_q_simple_GrhTTM-指数,5.48,-46.70,-42.53,147.77,7.06,12,9,23.22,0.35,1361,1.49,2.46,34.41,0.24,52.62
ZX04-000300-fore_q_simple_GrhTTMlong-指数,9.86,-23.75,-22.38,56.76,12.69,11,10,10.55,0.94,215,0.68,10.76,28.99,0.93,54.87
ZX04-000905-combine_fore_q_EP1Q-long,15.83,-34.43,-29.59,156.50,17.27,10,9,21.38,0.80,615,1.37,13.82,45.14,0.74,55.73
ZX04-000905-combine_fore_q_EP1Q-指数,6.95,-65.20,-50.23,197.63,8.43,17,8,26.37,0.39,994,1.69,4.51,37.66,0.26,55.13
ZX04-000905-combine_fore_q_EP1Qlong-指数,6.58,-25.99,-24.05,49.72,8.11,12,17,9.06,0.75,1030,0.58,8.25,16.11,0.73,49.77
ZX04-000905-combine_fore_q_EPTTM-long,14.75,-40.54,-29.51,175.55,16.74,11,9,22.57,0.72,1232,1.44,11.53,46.28,0.65,55.43
ZX04-000905-combine_fore_q_EPTTM-指数,6.81,-65.20,-50.23,197.63,8.32,17,8,26.36,0.38,994,1.69,4.38,37.30,0.26,55.13
ZX04-000905-combine_fore_q_EPTTMlong-指数,6.05,-28.67,-23.37,48.62,7.70,12,10,8.48,0.74,1045,0.54,7.70,18.31,0.71,50.70
ZX04-000905-combine_fore_q_Grh1Q-long,12.39,-46.05,-35.88,158.16,14.20,11,9,23.16,0.62,1237,1.48,11.37,42.10,0.54,55.17
ZX04-000905-combine_fore_q_Grh1Q-指数,6.95,-65.20,-50.23,197.63,8.43,17,8,26.37,0.39,994,1.69,4.51,37.66,0.26,55.13
ZX04-000905-combine_fore_q_Grh1Qlong-指数,3.88,-21.13,-16.38,31.02,6.00,15,14,8.48,0.49,768,0.54,6.97,19.33,0.46,48.90
ZX04-000905-combine_fore_q_GrhTTM-long,12.24,-49.18,-40.82,180.27,14.09,13,8,23.96,0.60,617,1.53,11.07,40.84,0.51,55.03
ZX04-000905-combine_fore_q_GrhTTM-指数,7.10,-65.20,-50.23,197.63,8.46,17,8,26.38,0.39,994,1.69,4.38,37.80,0.27,55.17
ZX04-000905-combine_fore_q_GrhTTMlong-指数,3.96,-19.09,-16.71,19.89,5.78,14,17,6.19,0.66,606,0.40,7.89,13.58,0.64,50.10
ZX04-000905-fore_q_analyst_EP1Q-long,13.03,-50.71,-35.05,184.10,15.33,11,7,21.60,0.68,1481,1.38,9.68,47.62,0.60,55.77
ZX04-000905-fore_q_analyst_EP1Q-指数,6.98,-65.20,-50.23,197.63,8.36,16,8,26.37,0.39,994,1.69,4.38,37.31,0.26,55.13
ZX04-000905-fore_q_analyst_EP1Qlong-指数,4.08,-28.06,-23.09,32.64,5.76,10,16,8.33,0.52,1109,0.53,6.56,16.19,0.49,49.53
ZX04-000905-fore_q_analyst_EPTTM-long,14.63,-47.92,-30.65,183.37,16.13,11,9,21.93,0.73,1235,1.40,8.97,50.24,0.67,55.67
ZX04-000905-fore_q_analyst_EPTTM-指数,6.98,-65.20,-50.23,197.63,8.36,16,8,26.37,0.39,994,1.69,4.38,37.31,0.26,55.13
ZX04-000905-fore_q_analyst_EPTTMlong-指数,5.66,-29.24,-22.21,34.52,6.79,15,16,8.04,0.73,1154,0.51,7.97,17.19,0.70,50.00
ZX04-000905-fore_q_analyst_Grh1Q-long,12.02,-43.75,-35.09,155.30,13.50,11,8,22.14,0.62,1235,1.42,11.63,37.17,0.54,55.27
ZX04-000905-fore_q_analyst_Grh1Q-指数,6.98,-65.20,-50.23,197.63,8.36,16,8,26.37,0.39,994,1.69,4.38,37.31,0.26,55.13
ZX04-000905-fore_q_analyst_Grh1Qlong-指数,3.31,-20.85,-18.07,27.60,5.26,11,16,7.90,0.45,825,0.51,6.89,14.28,0.42,49.03
ZX04-000905-fore_q_analyst_GrhTTM-long,13.32,-46.65,-38.09,174.75,14.81,11,9,23.61,0.65,1481,1.51,12.18,39.22,0.56,55.53
ZX04-000905-fore_q_analyst_GrhTTM-指数,7.10,-65.20,-50.23,197.63,8.46,17,8,26.38,0.39,994,1.69,4.38,37.80,0.27,55.17
ZX04-000905-fore_q_analyst_GrhTTMlong-指数,4.84,-20.26,-18.83,24.40,6.53,11,17,6.61,0.75,806,0.42,6.93,15.59,0.73,50.30
ZX04-000905-fore_q_annouce_EP1Q-long,13.83,-41.13,-35.88,199.96,17.32,13,9,24.85,0.64,1098,1.59,11.72,50.35,0.56,55.30
ZX04-000905-fore_q_annouce_EP1Q-指数,7.07,-65.20,-50.23,197.63,8.43,17,8,26.38,0.39,994,1.69,4.44,37.57,0.27,55.13
ZX04-000905-fore_q_annouce_EP1Qlong-指数,5.06,-28.73,-26.50,71.37,7.78,11,13,12.61,0.45,1453,0.81,4.91,18.25,0.40,49.57
ZX04-000905-fore_q_annouce_EPTTM-long,14.84,-42.26,-35.51,184.19,17.35,15,8,25.79,0.66,1104,1.65,11.73,46.29,0.58,55.47
ZX04-000905-fore_q_annouce_EPTTM-指数,7.07,-65.20,-50.23,197.63,8.43,17,8,26.38,0.39,994,1.69,4.44,37.57,0.27,55.13
