,candle_end_time,open,close,DIF,DEA,MACD,min,price_new_low,last_valley_price,last_valley_dif,state,macd_sig,signal,Observation,RollingMean,UpperBound,LowerBound,sell_sig1,sell_sig2,sell_sig3,r
2199,2016-01-19,2914.41,3007.74,-156.87766963562808,-119.55583948054851,-74.64366031015913,2914.41,1.0,2900.97,-152.87043730232926,,True,0.0,3007.74,3290.721,3838.9226940470467,2742.5193059529533,False,False,,0.03222551684375241
2200,2016-01-20,2993.01,2976.69,-154.8527095608447,-126.61521349660775,-56.47499212847387,2976.69,,3007.74,-156.87766963562808,,False,0.0,2976.69,3256.967,3795.1301583488935,2718.8038416511067,False,False,,-0.010323365716451427
2201,2016-01-21,2934.39,2880.48,-159.17637093175927,-133.12744498363804,-52.097851896242446,2880.48,,3007.74,-156.87766963562808,,False,0.0,2880.48,3219.1865,3751.644726240388,2686.7282737596115,False,False,,-0.0323211352206646
2202,2016-01-22,2911.11,2916.56,-157.87170253653085,-138.07629649421662,-39.59081208462845,2911.11,,3007.74,-156.87766963562808,,False,0.0,2916.56,3184.3900000000003,3700.188030356908,2668.591969643093,False,False,,0.012525690162750625
2203,2016-01-25,2934.08,2938.51,-153.29942157119103,-141.12092150961152,-24.357000123159025,2934.08,,3007.74,-156.87766963562808,,False,0.0,2938.51,3149.9199999999996,3633.7012329142885,2666.1387670857107,False,False,,0.007525989521902643
2204,2016-01-26,2907.72,2749.78,-163.0255328197577,-145.50184377164078,-35.04737809623384,2749.78,,3007.74,-156.87766963562808,,False,0.0,2749.78,3110.7200000000003,3590.7725235014127,2630.667476498588,False,False,,-0.06422642767933406
2205,2016-01-27,2756.08,2735.56,-169.92222359490506,-150.38591973629366,-39.07260771722281,2735.56,,3007.74,-156.87766963562808,,False,0.0,2735.56,3069.311,3528.32645206679,2610.2955479332104,False,False,,-0.005171322796732936
2206,2016-01-28,2711.16,2655.66,-179.76296738062,-156.26132926515893,-47.003276230922154,2655.66,,3007.74,-156.87766963562808,,False,0.0,2655.66,3023.45,3454.480558499145,2592.4194415008546,False,False,,-0.029207913553349285
2207,2016-01-29,2652.85,2737.6,-178.887846786743,-160.78663276947574,-36.202428034534535,2652.85,,3007.74,-156.87766963562808,,False,0.0,2737.6,2983.371,3360.8741063661464,2605.867893633854,False,False,,0.03085485340743932
2208,2016-02-01,2730.98,2688.85,-180.0524919421191,-164.63980460400444,-30.82537467622933,2688.85,1.0,3007.74,-156.87766963562808,,False,0.0,2688.85,2953.0005,3322.5782927028267,2583.4227072971735,False,False,True,-0.017807568673290475
2209,2016-02-02,2687.98,2749.57,-174.06932228388496,-166.52570813998057,-15.087228287808784,2687.98,,2688.85,-180.0524919421191,,False,0.0,2749.57,2926.0935,3271.871611006317,2580.315388993683,False,False,,0.022582144783085845
2210,2016-02-03,2719.57,2739.25,-168.2212056310359,-166.86480763819165,-2.7127959856885013,2719.57,,2688.85,-180.0524919421191,,False,0.0,2739.25,2894.964,3185.9853312046057,2603.942668795394,False,False,,-0.0037533141545769144
2211,2016-02-04,2751.43,2781.02,-158.3902173060851,-165.16988957177034,13.55934453137047,2751.43,,2688.85,-180.0524919421191,,False,0.0,2781.02,2877.765,3152.5804427613243,2602.9495572386754,False,False,,0.015248699461531512
2212,2016-02-05,2783.08,2763.49,-150.2812638628211,-162.1921644299805,23.821801134318775,2763.49,,2688.85,-180.0524919421191,,False,0.0,2763.49,2856.619,3095.981324178442,2617.2566758215585,False,False,,-0.00630344262177196
2213,2016-02-15,2684.96,2746.2,-143.59474747436207,-158.47268103885682,29.755867128989507,2684.96,,2688.85,-180.0524919421191,,False,0.0,2746.2,2843.094,3075.205838423005,2610.982161576995,False,False,,-0.006256581351841373
2214,2016-02-16,2758.58,2836.57,-129.51061358056313,-152.68026754719807,46.33930793326988,2758.58,,2688.85,-180.0524919421191,,False,0.0,2836.57,2833.7795,3050.745431563249,2616.813568436751,True,False,,0.032907290073556306
2215,2016-02-17,2829.76,2867.34,-114.54554442068547,-145.05332292189556,61.01555700242017,2829.76,,2688.85,-180.0524919421191,,False,0.0,2867.34,2829.6665,3040.732679600401,2618.600320399599,True,False,,0.010847608202864789
2216,2016-02-18,2881.78,2862.89,-101.87039856128649,-136.41673804977376,69.09267897697453,2862.89,,2688.85,-180.0524919421191,,False,0.0,2862.89,2822.4284999999995,3017.939401310156,2626.917598689843,True,False,,-0.0015519610510090764
