,3219
SMDV US Equity,-1.0
SMH US Equity,-1.0
SMIN US Equity,-1.0
SMLF US Equity,-1.0
SMLV US Equity,1.0
SMMV US Equity,-1.0
SOCL US Equity,1.0
SOXL US Equity,1.0
SOXS US Equity,-1.0
SOXX US Equity,1.0
SOYB US Equity,-1.0
SPAB US Equity,-1.0
SPBO US Equity,1.0
SPDV US Equity,-1.0
SPDW US Equity,1.0
SPHB US Equity,1.0
SPHD US Equity,1.0
SPHQ US Equity,1.0
SPHY US Equity,-1.0
SPLG US Equity,-1.0
SPMB US Equity,-1.0
SPMD US Equity,-1.0
SPTI US Equity,-1.0
SPVM US Equity,-1.0
SPVU US Equity,-1.0
SPXU US Equity,1.0
SPYD US Equity,-1.0
SPYG US Equity,1.0
SPYX US Equity,1.0
SRTY US Equity,1.0
STOT US Equity,1.0
SUSA US Equity,1.0
SUSC US Equity,-1.0
SVXY US Equity,1.0
SWAN US Equity,-1.0
TBF US Equity,1.0
TBT US Equity,-1.0
TBX US Equity,1.0
TDIV US Equity,1.0
TDTT US Equity,1.0
TECL US Equity,1.0
TFI US Equity,-1.0
THD US Equity,1.0
TILT US Equity,1.0
TIP US Equity,1.0
TLH US Equity,-1.0
TLT US Equity,-1.0
TLTE US Equity,-1.0
TOK US Equity,1.0
TOTL US Equity,-1.0
TPYP US Equity,-1.0
TQQQ US Equity,-1.0
TTAC US Equity,-1.0
TZA US Equity,-1.0
UCO US Equity,1.0
UDOW US Equity,1.0
UEVM US Equity,1.0
UGL US Equity,1.0
ULST US Equity,-1.0
ULVM US Equity,-1.0
UNG US Equity,1.0
UOCT US Equity,-1.0
UPRO US Equity,1.0
URA US Equity,1.0
URE US Equity,-1.0
URTH US Equity,1.0
USIG US Equity,-1.0
USL US Equity,1.0
USTB US Equity,-1.0
USVM US Equity,-1.0
UTRN US Equity,1.0
UWM US Equity,1.0
UYG US Equity,1.0
UYM US Equity,1.0
VBK US Equity,-1.0
VBND US Equity,-1.0
VCIT US Equity,1.0
VCLT US Equity,-1.0
VCR US Equity,1.0
VFH US Equity,1.0
VFMF US Equity,1.0
VFMV US Equity,1.0
VGK US Equity,1.0
VGLT US Equity,-1.0
VGSH US Equity,-1.0
VIGI US Equity,1.0
VIOG US Equity,1.0
VIOV US Equity,1.0
VIXM US Equity,-1.0
VIXY US Equity,-1.0
VNM US Equity,1.0
VNQ US Equity,-1.0
VNQI US Equity,1.0
VO US Equity,1.0
VOE US Equity,1.0
VONG US Equity,1.0
VONV US Equity,1.0
VOO US Equity,1.0
VOOV US Equity,1.0
VPL US Equity,-1.0
VRAI US Equity,1.0
VRP US Equity,-1.0
VSDA US Equity,-1.0
VSGX US Equity,-1.0
VTC US Equity,-1.0
VTI US Equity,1.0
VTS US Equity,1.0
VUG US Equity,-1.0
VUSE US Equity,-1.0
VV US Equity,1.0
VXF US Equity,1.0
VXX US Equity,1.0
VXZ US Equity,-1.0
WBND US Equity,1.0
WIP US Equity,-1.0
WOOD US Equity,-1.0
WPS US Equity,1.0
WTV US Equity,-1.0
XCEM US Equity,1.0
XHB US Equity,1.0
