,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
2215 JT Equity,2022-05-07,BUY,First Baking有限公司,125057,0,0,522.0,130.56,500000,0,0,Quant,Pattern 87,topix
6472 JT Equity,2022-05-07,SELL,NTN 株式会社,-604444,0,0,216.0,130.56,1000000,0,0,Quant,Pattern 87,JT
6758 JT Equity,2022-05-07,SELL,索尼集团公司,-11751,0,0,11110.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8015 JT Equity,2022-05-07,BUY,丰田通商,27927,0,0,4675.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8031 JT Equity,2022-05-07,SELL,三井物产,-38558,0,0,3386.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8058 JT Equity,2022-05-07,SELL,三菱商事,-29175,0,0,4475.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8306 JT Equity,2022-05-07,BUY,三菱日联金融集团,167491,0,0,779.5,130.56,1000000,0,0,Quant,Pattern 87,JT
8630 JT Equity,2022-05-07,BUY,损保控股株式会社,24569,0,0,5314.0,130.56,1000000,0,0,Quant,Pattern 87,JT
9433 JT Equity,2022-05-07,BUY,KDDI有限公司,30320,0,0,4306.0,130.56,1000000,0,0,Quant,Pattern 87,JT
9434 JT Equity,2022-05-07,BUY,SoftBank Corp,86722,0,0,1505.5,130.56,1000000,0,0,Quant,Pattern 87,JT
9501 JT Equity,2022-05-07,BUY,东京电力控股株式会社,246339,0,0,530.0,130.56,1000000,0,0,Quant,Pattern 87,JT
1093 HK Equity,2022-05-07,SELL,石药集团,-1018106,0,0,7.71,7.8496,1000000,0,0,Quant,Pattern 87,HIS
1109 HK Equity,2022-05-07,SELL,华润置地,-229520,0,0,34.2,7.8496,1000000,0,0,Quant,Pattern 87,HIS
1810 HK Equity,2022-05-07,SELL,小米集团,-707171,0,0,11.1,7.8496,1000000,0,0,Quant,Pattern 87,HIS
2269 HK Equity,2022-05-07,SELL,药明生物,-155746,0,0,50.4,7.8496,1000000,0,0,Quant,Pattern 87,HIS
2388 HK Equity,2022-05-07,SELL,中银香港,-264296,0,0,29.7,7.8496,1000000,0,0,Quant,Pattern 87,HIS
1065 HK Equity,2022-05-07,SELL,创业环保,-2540323,0,0,3.09,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
1066 HK Equity,2022-05-07,SELL,威高股份,-1001224,0,0,7.84,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
11 HK Equity,2022-05-07,BUY,恒生银行,56028,0,0,140.1,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
1193 HK Equity,2022-05-07,SELL,华润燃气,-272083,0,0,28.85,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
1233 HK Equity,2022-05-07,BUY,时代中国控股,3127330,0,0,2.51,7.8496,1000000,0,0,Quant,Pattern 87,HK-Conn
