,17
688050 CH Equity,1.0
688062 CH Equity,1.0
688068 CH Equity,1.0
688090 CH Equity,1.0
688091 CH Equity,1.0
688095 CH Equity,1.0
688100 CH Equity,1.0
688105 CH Equity,1.0
688116 CH Equity,1.0
688118 CH Equity,1.0
688153 CH Equity,1.0
688156 CH Equity,1.0
688159 CH Equity,1.0
688167 CH Equity,1.0
688169 CH Equity,1.0
688179 CH Equity,1.0
688180 CH Equity,1.0
688181 CH Equity,1.0
688188 CH Equity,1.0
688191 CH Equity,1.0
688193 CH Equity,1.0
688208 CH Equity,1.0
688225 CH Equity,1.0
688229 CH Equity,1.0
688233 CH Equity,1.0
688234 CH Equity,1.0
688256 CH Equity,1.0
688262 CH Equity,1.0
688285 CH Equity,1.0
688298 CH Equity,1.0
688319 CH Equity,1.0
688337 CH Equity,1.0
688339 CH Equity,1.0
688360 CH Equity,1.0
688363 CH Equity,1.0
688501 CH Equity,1.0
688505 CH Equity,1.0
688513 CH Equity,1.0
688520 CH Equity,1.0
688536 CH Equity,1.0
688567 CH Equity,1.0
688611 CH Equity,1.0
688665 CH Equity,1.0
688687 CH Equity,1.0
688700 CH Equity,1.0
688739 CH Equity,1.0
688772 CH Equity,1.0
688777 CH Equity,1.0
688778 CH Equity,1.0
688798 CH Equity,1.0
688799 CH Equity,1.0
688981 CH Equity,1.0
