,18
688193 CH Equity,1.0
688196 CH Equity,-1.0
688199 CH Equity,-1.0
688208 CH Equity,1.0
688221 CH Equity,1.0
688276 CH Equity,-1.0
688283 CH Equity,1.0
688286 CH Equity,1.0
688313 CH Equity,-1.0
688331 CH Equity,-1.0
688337 CH Equity,-1.0
688408 CH Equity,-1.0
688526 CH Equity,1.0
688550 CH Equity,1.0
688559 CH Equity,-1.0
688589 CH Equity,-1.0
688590 CH Equity,1.0
688598 CH Equity,1.0
688606 CH Equity,1.0
688679 CH Equity,-1.0
688687 CH Equity,1.0
688772 CH Equity,1.0
688799 CH Equity,1.0
688800 CH Equity,-1.0
