,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
003025 CH Equity,2022-05-12,BUY,思进智能,7645,0,0,26.73,6.8125,30000,0,0,Quant,Pattern 95,CN
003026 CH Equity,2022-05-12,BUY,中晶科技,4533,0,0,45.08,6.8125,30000,0,0,Quant,Pattern 95,CN
688085 CH Equity,2022-05-12,BUY,三友医疗,10132,0,0,20.17,6.8125,30000,0,0,Quant,Pattern 95,CN
688122 CH Equity,2022-05-12,BUY,西部超导,2379,0,0,85.9,6.8125,30000,0,0,Quant,Pattern 95,CN
688126 CH Equity,2022-05-12,BUY,沪硅产业,9181,0,0,22.26,6.8125,30000,0,0,Quant,Pattern 95,CN
688180 CH Equity,2022-05-12,BUY,君实生物,1788,0,0,114.28,6.8125,30000,0,0,Quant,Pattern 95,CN
688218 CH Equity,2022-05-12,BUY,江苏北人,19670,0,0,10.39,6.8125,30000,0,0,Quant,Pattern 95,CN
688222 CH Equity,2022-05-12,BUY,成都先导,15447,0,0,13.23,6.8125,30000,0,0,Quant,Pattern 95,CN
688228 CH Equity,2022-05-12,BUY,开普云,6994,0,0,29.22,6.8125,30000,0,0,Quant,Pattern 95,CN
688229 CH Equity,2022-05-12,BUY,博睿数据,5415,0,0,37.74,6.8125,30000,0,0,Quant,Pattern 95,CN
688270 CH Equity,2022-05-12,BUY,臻镭科技,3763,0,0,54.3,6.8125,30000,0,0,Quant,Pattern 95,CN
688277 CH Equity,2022-05-12,BUY,天智航,16117,0,0,12.68,6.8125,30000,0,0,Quant,Pattern 95,CN
000861 CH Equity,2022-05-12,BUY,海印股份,66571,0,0,3.07,6.8125,30000,0,0,Quant,Pattern 95,CN
000877 CH Equity,2022-05-12,BUY,天山股份,16710,0,0,12.23,6.8125,30000,0,0,Quant,Pattern 95,CN
000899 CH Equity,2022-05-12,BUY,赣能股份,38780,0,0,5.27,6.8125,30000,0,0,Quant,Pattern 95,CN
000905 CH Equity,2022-05-12,BUY,厦门港务,28989,0,0,7.05,6.8125,30000,0,0,Quant,Pattern 95,CN
000957 CH Equity,2022-05-12,BUY,中通客车股份有限公司,47862,0,0,4.27,6.8125,30000,0,0,Quant,Pattern 95,CN
000966 CH Equity,2022-05-12,BUY,长源电力,39995,0,0,5.11,6.8125,30000,0,0,Quant,Pattern 95,CN
000988 CH Equity,2022-05-12,BUY,华工科技,11501,0,0,17.77,6.8125,30000,0,0,Quant,Pattern 95,CN
001896 CH Equity,2022-05-12,BUY,豫能控股,40152,0,0,5.09,6.8125,30000,0,0,Quant,Pattern 95,CN
002007 CH Equity,2022-05-12,BUY,华兰生物,12029,0,0,16.99,6.8125,30000,0,0,Quant,Pattern 95,CN
002015 CH Equity,2022-05-12,BUY,协鑫能科,13100,0,0,15.6,6.8125,30000,0,0,Quant,Pattern 95,CN
300682 CH Equity,2022-05-12,BUY,朗新科技,9319,0,0,21.93,6.8125,30000,0,0,Quant,Pattern 95,CN
300743 CH Equity,2022-05-12,BUY,杭州天地数码科技股份有限公司,19576,0,0,10.44,6.8125,30000,0,0,Quant,Pattern 95,CN
300747 CH Equity,2022-05-12,BUY,锐科激光,6725,0,0,30.39,6.8125,30000,0,0,Quant,Pattern 95,CN
300755 CH Equity,2022-05-12,BUY,华致酒行,5820,0,0,35.11,6.8125,30000,0,0,Quant,Pattern 95,CN
300761 CH Equity,2022-05-12,BUY,立华股份,6694,0,0,30.53,6.8125,30000,0,0,Quant,Pattern 95,CN
