,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300399 CH Equity,2022-05-02,BUY,天利科技,73628,0,0,9.07,6.6781,100000,0,0,Quant,Pattern 95,CN
300418 CH Equity,2022-05-02,BUY,昆仑万维,46602,0,0,14.33,6.6781,100000,0,0,Quant,Pattern 95,CN
300422 CH Equity,2022-05-02,BUY,博世科,119251,0,0,5.6,6.6781,100000,0,0,Quant,Pattern 95,CN
300447 CH Equity,2022-05-02,BUY,全信股份,43056,0,0,15.51,6.6781,100000,0,0,Quant,Pattern 95,CN
300513 CH Equity,2022-05-02,BUY,恒实科技,68846,0,0,9.7,6.6781,100000,0,0,Quant,Pattern 95,CN
601238 CH Equity,2022-05-02,BUY,广汽集团,54559,0,0,12.24,6.6781,100000,0,0,Quant,Pattern 95,CN
601318 CH Equity,2022-05-02,BUY,中国平安,14986,0,0,44.56,6.6781,100000,0,0,Quant,Pattern 95,CN
601375 CH Equity,2022-05-02,BUY,中原证券,168638,0,0,3.96,6.6781,100000,0,0,Quant,Pattern 95,CN
601601 CH Equity,2022-05-02,BUY,中国太保,32106,0,0,20.8,6.6781,100000,0,0,Quant,Pattern 95,CN
601689 CH Equity,2022-05-02,SELL,拓普集团,-12703,0,0,52.57,6.6781,100000,0,0,Quant,Pattern 95,CN
601800 CH Equity,2022-05-02,BUY,中国交建,61492,0,0,10.86,6.6781,100000,0,0,Quant,Pattern 95,CN
601808 CH Equity,2022-05-02,BUY,中海油服,53467,0,0,12.49,6.6781,100000,0,0,Quant,Pattern 95,CN
601857 CH Equity,2022-05-02,SELL,中国石油,-124128,0,0,5.38,6.6781,100000,0,0,Quant,Pattern 95,CN
601865 CH Equity,2022-05-02,BUY,福莱特,16448,0,0,40.6,6.6781,100000,0,0,Quant,Pattern 95,CN
601963 CH Equity,2022-05-02,BUY,重庆银行,86391,0,0,7.73,6.6781,100000,0,0,Quant,Pattern 95,CN
600900 CH Equity,2022-05-02,BUY,长江电力,29393,0,0,22.72,6.6781,100000,0,0,Quant,Pattern 95,CN
600919 CH Equity,2022-05-02,BUY,江苏银行,91106,0,0,7.33,6.6781,100000,0,0,Quant,Pattern 95,CN
600926 CH Equity,2022-05-02,BUY,杭州银行,43704,0,0,15.28,6.6781,100000,0,0,Quant,Pattern 95,CN
600941 CH Equity,2022-05-02,SELL,中国移动,-10280,0,0,64.96,6.6781,100000,0,0,Quant,Pattern 95,CN
601012 CH Equity,2022-05-02,BUY,隆基股份,9826,0,0,67.96,6.6781,100000,0,0,Quant,Pattern 95,CN
601018 CH Equity,2022-05-02,BUY,宁波港,170795,0,0,3.91,6.6781,100000,0,0,Quant,Pattern 95,CN
601088 CH Equity,2022-05-02,BUY,中国神华,21696,0,0,30.78,6.6781,100000,0,0,Quant,Pattern 95,CN
601166 CH Equity,2022-05-02,BUY,兴业银行,32607,0,0,20.48,6.6781,100000,0,0,Quant,Pattern 95,CN
601168 CH Equity,2022-05-02,BUY,西部矿业,55790,0,0,11.97,6.6781,100000,0,0,Quant,Pattern 95,CN
601229 CH Equity,2022-05-02,BUY,上海银行,102898,0,0,6.49,6.6781,100000,0,0,Quant,Pattern 95,CN
000568 CH Equity,2022-05-02,BUY,泸州老窖,3169,0,0,210.73,6.6781,100000,0,0,Quant,Pattern 95,CN
000581 CH Equity,2022-05-02,SELL,威孚高科,-32913,0,0,20.29,6.6781,100000,0,0,Quant,Pattern 95,CN
000597 CH Equity,2022-05-02,SELL,东北制药,-128672,0,0,5.19,6.6781,100000,0,0,Quant,Pattern 95,CN
000603 CH Equity,2022-05-02,BUY,盛达矿业,58941,0,0,11.33,6.6781,100000,0,0,Quant,Pattern 95,CN
000620 CH Equity,2022-05-02,SELL,新华联,-231878,0,0,2.88,6.6781,100000,0,0,Quant,Pattern 95,CN
000625 CH Equity,2022-05-02,BUY,长安汽车,63783,0,0,10.47,6.6781,100000,0,0,Quant,Pattern 95,CN
000636 CH Equity,2022-05-02,BUY,风华高科,40473,0,0,16.5,6.6781,100000,0,0,Quant,Pattern 95,CN
000676 CH Equity,2022-05-02,SELL,智度股份,-129170,0,0,5.17,6.6781,100000,0,0,Quant,Pattern 95,CN
000729 CH Equity,2022-05-02,SELL,燕京啤酒,-97348,0,0,6.86,6.6781,100000,0,0,Quant,Pattern 95,CN
000738 CH Equity,2022-05-02,BUY,航发控制,28059,0,0,23.8,6.6781,100000,0,0,Quant,Pattern 95,CN
002304 CH Equity,2022-05-02,BUY,洋河股份,4198,0,0,159.06,6.6781,100000,0,0,Quant,Pattern 95,CN
002311 CH Equity,2022-05-02,BUY,海大集团,10827,0,0,61.68,6.6781,100000,0,0,Quant,Pattern 95,CN
002331 CH Equity,2022-05-02,SELL,皖通科技,-108941,0,0,6.13,6.6781,100000,0,0,Quant,Pattern 95,CN
002361 CH Equity,2022-05-02,SELL,神剑股份,-178082,0,0,3.75,6.6781,100000,0,0,Quant,Pattern 95,CN
002367 CH Equity,2022-05-02,SELL,康力电梯,-94057,0,0,7.1,6.6781,100000,0,0,Quant,Pattern 95,CN
002369 CH Equity,2022-05-02,BUY,卓翼科技,173007,0,0,3.86,6.6781,100000,0,0,Quant,Pattern 95,CN
002371 CH Equity,2022-05-02,BUY,北方华创,2794,0,0,239.0,6.6781,100000,0,0,Quant,Pattern 95,CN
002378 CH Equity,2022-05-02,BUY,章源钨业,99524,0,0,6.71,6.6781,100000,0,0,Quant,Pattern 95,CN
002389 CH Equity,2022-05-02,BUY,航天彩虹,45183,0,0,14.78,6.6781,100000,0,0,Quant,Pattern 95,CN
002458 CH Equity,2022-05-02,BUY,益生股份,75373,0,0,8.86,6.6781,100000,0,0,Quant,Pattern 95,CN
600177 CH Equity,2022-05-02,SELL,雅戈尔,-97775,0,0,6.83,6.6781,100000,0,0,Quant,Pattern 95,CN
600196 CH Equity,2022-05-02,SELL,复星医药,-15537,0,0,42.98,6.6781,100000,0,0,Quant,Pattern 95,CN
600200 CH Equity,2022-05-02,BUY,江苏吴中,116140,0,0,5.75,6.6781,100000,0,0,Quant,Pattern 95,CN
