,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
300468 CH Equity,2022-04-29,SELL,四方精创,-44516,0,0,14.96,6.6597,100000,0,0,Quant,Pattern 95,CN
300474 CH Equity,2022-04-29,BUY,景嘉微,8499,0,0,78.35,6.6597,100000,0,0,Quant,Pattern 95,CN
300482 CH Equity,2022-04-29,BUY,万孚生物,16172,0,0,41.18,6.6597,100000,0,0,Quant,Pattern 95,CN
300491 CH Equity,2022-04-29,SELL,通合科技,-58935,0,0,11.3,6.6597,100000,0,0,Quant,Pattern 95,CN
300494 CH Equity,2022-04-29,SELL,盛天网络,-51745,0,0,12.87,6.6597,100000,0,0,Quant,Pattern 95,CN
300498 CH Equity,2022-04-29,SELL,温氏股份,-33034,0,0,20.16,6.6597,100000,0,0,Quant,Pattern 95,CN
300525 CH Equity,2022-04-29,SELL,博思软件,-37101,0,0,17.95,6.6597,100000,0,0,Quant,Pattern 95,CN
300534 CH Equity,2022-04-29,SELL,陇神戎发,-85053,0,0,7.83,6.6597,100000,0,0,Quant,Pattern 95,CN
601228 CH Equity,2022-04-29,BUY,广州港,215524,0,0,3.09,6.6597,100000,0,0,Quant,Pattern 95,CN
601238 CH Equity,2022-04-29,BUY,广汽集团,57361,0,0,11.61,6.6597,100000,0,0,Quant,Pattern 95,CN
601288 CH Equity,2022-04-29,SELL,农业银行,-217637,0,0,3.06,6.6597,100000,0,0,Quant,Pattern 95,CN
601318 CH Equity,2022-04-29,SELL,中国平安,-15253,0,0,43.66,6.6597,100000,0,0,Quant,Pattern 95,CN
601375 CH Equity,2022-04-29,BUY,中原证券,174795,0,0,3.81,6.6597,100000,0,0,Quant,Pattern 95,CN
601398 CH Equity,2022-04-29,BUY,工商银行,139616,0,0,4.77,6.6597,100000,0,0,Quant,Pattern 95,CN
601500 CH Equity,2022-04-29,BUY,通用股份,180970,0,0,3.68,6.6597,100000,0,0,Quant,Pattern 95,CN
601628 CH Equity,2022-04-29,BUY,中国人寿,27182,0,0,24.5,6.6597,100000,0,0,Quant,Pattern 95,CN
601668 CH Equity,2022-04-29,BUY,中国建筑,107762,0,0,6.18,6.6597,100000,0,0,Quant,Pattern 95,CN
601689 CH Equity,2022-04-29,BUY,拓普集团,13101,0,0,50.83,6.6597,100000,0,0,Quant,Pattern 95,CN
300185 CH Equity,2022-04-29,BUY,通裕重工,283391,0,0,2.35,6.6597,100000,0,0,Quant,Pattern 95,CN
300187 CH Equity,2022-04-29,SELL,永清环保,-128814,0,0,5.17,6.6597,100000,0,0,Quant,Pattern 95,CN
300188 CH Equity,2022-04-29,SELL,美亚柏科,-59039,0,0,11.28,6.6597,100000,0,0,Quant,Pattern 95,CN
300200 CH Equity,2022-04-29,BUY,高盟新材,104220,0,0,6.39,6.6597,100000,0,0,Quant,Pattern 95,CN
300226 CH Equity,2022-04-29,BUY,上海钢联,25322,0,0,26.3,6.6597,100000,0,0,Quant,Pattern 95,CN
300233 CH Equity,2022-04-29,BUY,金城医药,24394,0,0,27.3,6.6597,100000,0,0,Quant,Pattern 95,CN
300240 CH Equity,2022-04-29,SELL,飞力达,-70622,0,0,9.43,6.6597,100000,0,0,Quant,Pattern 95,CN
300246 CH Equity,2022-04-29,BUY,宝莱特,48860,0,0,13.63,6.6597,100000,0,0,Quant,Pattern 95,CN
300257 CH Equity,2022-04-29,SELL,开山股份,-54099,0,0,12.31,6.6597,100000,0,0,Quant,Pattern 95,CN
300274 CH Equity,2022-04-29,SELL,阳光电源,-10924,0,0,60.96,6.6597,100000,0,0,Quant,Pattern 95,CN
600066 CH Equity,2022-04-29,SELL,宇通客车,-91984,0,0,7.24,6.6597,100000,0,0,Quant,Pattern 95,CN
600100 CH Equity,2022-04-29,BUY,同方股份,159322,0,0,4.18,6.6597,100000,0,0,Quant,Pattern 95,CN
600177 CH Equity,2022-04-29,SELL,雅戈尔,-101830,0,0,6.54,6.6597,100000,0,0,Quant,Pattern 95,CN
600195 CH Equity,2022-04-29,SELL,中牧股份,-63185,0,0,10.54,6.6597,100000,0,0,Quant,Pattern 95,CN
600197 CH Equity,2022-04-29,BUY,伊力特,27542,0,0,24.18,6.6597,100000,0,0,Quant,Pattern 95,CN
600213 CH Equity,2022-04-29,BUY,亚星客车,113841,0,0,5.85,6.6597,100000,0,0,Quant,Pattern 95,CN
600219 CH Equity,2022-04-29,BUY,南山铝业,212092,0,0,3.14,6.6597,100000,0,0,Quant,Pattern 95,CN
600229 CH Equity,2022-04-29,SELL,城市传媒,-108996,0,0,6.11,6.6597,100000,0,0,Quant,Pattern 95,CN
600233 CH Equity,2022-04-29,BUY,圆通速递,39546,0,0,16.84,6.6597,100000,0,0,Quant,Pattern 95,CN
600243 CH Equity,2022-04-29,BUY,青海华鼎,145408,0,0,4.58,6.6597,100000,0,0,Quant,Pattern 95,CN
000708 CH Equity,2022-04-29,SELL,中信特钢,-39105,0,0,17.03,6.6597,100000,0,0,Quant,Pattern 95,CN
000712 CH Equity,2022-04-29,BUY,锦龙股份,55129,0,0,12.08,6.6597,100000,0,0,Quant,Pattern 95,CN
000725 CH Equity,2022-04-29,BUY,京东方,178066,0,0,3.74,6.6597,100000,0,0,Quant,Pattern 95,CN
000729 CH Equity,2022-04-29,BUY,燕京啤酒,102931,0,0,6.47,6.6597,100000,0,0,Quant,Pattern 95,CN
000738 CH Equity,2022-04-29,SELL,航发控制,-28942,0,0,23.01,6.6597,100000,0,0,Quant,Pattern 95,CN
000785 CH Equity,2022-04-29,SELL,居然之家,-166909,0,0,3.99,6.6597,100000,0,0,Quant,Pattern 95,CN
000850 CH Equity,2022-04-29,SELL,华茂股份,-187597,0,0,3.55,6.6597,100000,0,0,Quant,Pattern 95,CN
000858 CH Equity,2022-04-29,BUY,五粮液,4015,0,0,165.85,6.6597,100000,0,0,Quant,Pattern 95,CN
000869 CH Equity,2022-04-29,BUY,张裕,25812,0,0,25.8,6.6597,100000,0,0,Quant,Pattern 95,CN
000877 CH Equity,2022-04-29,SELL,天山股份,-56152,0,0,11.86,6.6597,100000,0,0,Quant,Pattern 95,CN
301082 CH Equity,2022-04-29,BUY,久盛电气,43612,0,0,15.27,6.6597,100000,0,0,Quant,Pattern 95,CN
301099 CH Equity,2022-04-29,SELL,雅创电子,-13394,0,0,49.72,6.6597,100000,0,0,Quant,Pattern 95,CN
301123 CH Equity,2022-04-29,SELL,奕东电子,-31895,0,0,20.88,6.6597,100000,0,0,Quant,Pattern 95,CN
301167 CH Equity,2022-04-29,SELL,建研设计,-19512,0,0,34.13,6.6597,100000,0,0,Quant,Pattern 95,CN
301189 CH Equity,2022-04-29,SELL,奥尼电子,-23408,0,0,28.45,6.6597,100000,0,0,Quant,Pattern 95,CN
301218 CH Equity,2022-04-29,BUY,华是科技,18146,0,0,36.7,6.6597,100000,0,0,Quant,Pattern 95,CN
600000 CH Equity,2022-04-29,BUY,浦发银行,83350,0,0,7.99,6.6597,100000,0,0,Quant,Pattern 95,CN
600026 CH Equity,2022-04-29,SELL,中远海能,-85271,0,0,7.8100000000000005,6.6597,100000,0,0,Quant,Pattern 95,CN
600056 CH Equity,2022-04-29,SELL,中国医药,-31369,0,0,21.23,6.6597,100000,0,0,Quant,Pattern 95,CN
600062 CH Equity,2022-04-29,BUY,华润双鹤,22393,0,0,29.74,6.6597,100000,0,0,Quant,Pattern 95,CN
002412 CH Equity,2022-04-29,BUY,汉森制药,120428,0,0,5.53,6.6597,100000,0,0,Quant,Pattern 95,CN
002419 CH Equity,2022-04-29,SELL,天虹股份,-108464,0,0,6.14,6.6597,100000,0,0,Quant,Pattern 95,CN
002425 CH Equity,2022-04-29,SELL,凯撒文化,-138455,0,0,4.8100000000000005,6.6597,100000,0,0,Quant,Pattern 95,CN
002456 CH Equity,2022-04-29,BUY,欧菲光,127825,0,0,5.21,6.6597,100000,0,0,Quant,Pattern 95,CN
002460 CH Equity,2022-04-29,BUY,赣锋锂业,6291,0,0,105.85,6.6597,100000,0,0,Quant,Pattern 95,CN
002461 CH Equity,2022-04-29,SELL,珠江啤酒,-89272,0,0,7.46,6.6597,100000,0,0,Quant,Pattern 95,CN
002463 CH Equity,2022-04-29,BUY,沪电股份,55084,0,0,12.09,6.6597,100000,0,0,Quant,Pattern 95,CN
002466 CH Equity,2022-04-29,SELL,天齐锂业,-9585,0,0,69.48,6.6597,100000,0,0,Quant,Pattern 95,CN
002475 CH Equity,2022-04-29,BUY,立讯精密,22659,0,0,29.39,6.6597,100000,0,0,Quant,Pattern 95,CN
002479 CH Equity,2022-04-29,SELL,富春环保,-151701,0,0,4.39,6.6597,100000,0,0,Quant,Pattern 95,CN
000529 CH Equity,2022-04-29,BUY,广弘控股,115020,0,0,5.79,6.6597,100000,0,0,Quant,Pattern 95,CN
000537 CH Equity,2022-04-29,SELL,广宇发展,-60159,0,0,11.07,6.6597,100000,0,0,Quant,Pattern 95,CN
000553 CH Equity,2022-04-29,BUY,安道麦,75850,0,0,8.78,6.6597,100000,0,0,Quant,Pattern 95,CN
000567 CH Equity,2022-04-29,BUY,海德股份,47198,0,0,14.11,6.6597,100000,0,0,Quant,Pattern 95,CN
000582 CH Equity,2022-04-29,BUY,北部湾港,90485,0,0,7.36,6.6597,100000,0,0,Quant,Pattern 95,CN
000597 CH Equity,2022-04-29,BUY,东北制药,132399,0,0,5.03,6.6597,100000,0,0,Quant,Pattern 95,CN
000625 CH Equity,2022-04-29,SELL,长安汽车,-69954,0,0,9.52,6.6597,100000,0,0,Quant,Pattern 95,CN
000627 CH Equity,2022-04-29,BUY,天茂集团,242170,0,0,2.75,6.6597,100000,0,0,Quant,Pattern 95,CN
000667 CH Equity,2022-04-29,SELL,美好置业,-435274,0,0,1.53,6.6597,100000,0,0,Quant,Pattern 95,CN
000681 CH Equity,2022-04-29,BUY,视觉中国,60597,0,0,10.99,6.6597,100000,0,0,Quant,Pattern 95,CN
300958 CH Equity,2022-04-29,BUY,建工修复,38450,0,0,17.32,6.6597,100000,0,0,Quant,Pattern 95,CN
300967 CH Equity,2022-04-29,BUY,晓鸣股份,42070,0,0,15.83,6.6597,100000,0,0,Quant,Pattern 95,CN
300977 CH Equity,2022-04-29,SELL,深圳瑞捷,-22303,0,0,29.86,6.6597,100000,0,0,Quant,Pattern 95,CN
300981 CH Equity,2022-04-29,SELL,中红医疗,-14649,0,0,45.46,6.6597,100000,0,0,Quant,Pattern 95,CN
300989 CH Equity,2022-04-29,SELL,蕾奥规划,-16847,0,0,39.53,6.6597,100000,0,0,Quant,Pattern 95,CN
301003 CH Equity,2022-04-29,SELL,江苏博云,-24638,0,0,27.03,6.6597,100000,0,0,Quant,Pattern 95,CN
301046 CH Equity,2022-04-29,BUY,能辉科技,24493,0,0,27.19,6.6597,100000,0,0,Quant,Pattern 95,CN
301060 CH Equity,2022-04-29,SELL,兰卫医学,-17199,0,0,38.72,6.6597,100000,0,0,Quant,Pattern 95,CN
301069 CH Equity,2022-04-29,BUY,凯盛新材,20876,0,0,31.9,6.6597,100000,0,0,Quant,Pattern 95,CN
301073 CH Equity,2022-04-29,SELL,君亭酒店,-9261,0,0,71.91,6.6597,100000,0,0,Quant,Pattern 95,CN
002010 CH Equity,2022-04-29,BUY,传化智联,109354,0,0,6.09,6.6597,100000,0,0,Quant,Pattern 95,CN
002016 CH Equity,2022-04-29,BUY,世荣兆业,117455,0,0,5.67,6.6597,100000,0,0,Quant,Pattern 95,CN
002027 CH Equity,2022-04-29,SELL,分众传媒,-125654,0,0,5.3,6.6597,100000,0,0,Quant,Pattern 95,CN
002030 CH Equity,2022-04-29,BUY,达安基因,37882,0,0,17.58,6.6597,100000,0,0,Quant,Pattern 95,CN
002038 CH Equity,2022-04-29,BUY,双鹭药业,69299,0,0,9.61,6.6597,100000,0,0,Quant,Pattern 95,CN
002039 CH Equity,2022-04-29,SELL,黔源电力,-38900,0,0,17.12,6.6597,100000,0,0,Quant,Pattern 95,CN
002046 CH Equity,2022-04-29,SELL,国机精工,-73750,0,0,9.03,6.6597,100000,0,0,Quant,Pattern 95,CN
002048 CH Equity,2022-04-29,SELL,宁波华翔,-50567,0,0,13.17,6.6597,100000,0,0,Quant,Pattern 95,CN
002097 CH Equity,2022-04-29,SELL,山河智能,-103895,0,0,6.41,6.6597,100000,0,0,Quant,Pattern 95,CN
002123 CH Equity,2022-04-29,SELL,梦网科技,-77438,0,0,8.6,6.6597,100000,0,0,Quant,Pattern 95,CN
300113 CH Equity,2022-04-29,BUY,顺网科技,69516,0,0,9.58,6.6597,100000,0,0,Quant,Pattern 95,CN
300115 CH Equity,2022-04-29,SELL,长盈精密,-90855,0,0,7.33,6.6597,100000,0,0,Quant,Pattern 95,CN
300123 CH Equity,2022-04-29,SELL,亚光科技,-136469,0,0,4.88,6.6597,100000,0,0,Quant,Pattern 95,CN
300124 CH Equity,2022-04-29,BUY,汇川技术,11909,0,0,55.92,6.6597,100000,0,0,Quant,Pattern 95,CN
300134 CH Equity,2022-04-29,SELL,大富科技,-100751,0,0,6.61,6.6597,100000,0,0,Quant,Pattern 95,CN
300136 CH Equity,2022-04-29,SELL,信维通信,-47671,0,0,13.97,6.6597,100000,0,0,Quant,Pattern 95,CN
300141 CH Equity,2022-04-29,SELL,和顺电气,-88324,0,0,7.54,6.6597,100000,0,0,Quant,Pattern 95,CN
300153 CH Equity,2022-04-29,SELL,科泰电源,-105877,0,0,6.29,6.6597,100000,0,0,Quant,Pattern 95,CN
300160 CH Equity,2022-04-29,SELL,秀强股份,-102614,0,0,6.49,6.6597,100000,0,0,Quant,Pattern 95,CN
300161 CH Equity,2022-04-29,SELL,华中数控,-40882,0,0,16.29,6.6597,100000,0,0,Quant,Pattern 95,CN
000935 CH Equity,2022-04-29,SELL,四川双马,-39806,0,0,16.73,6.6597,100000,0,0,Quant,Pattern 95,CN
000966 CH Equity,2022-04-29,BUY,长源电力,145091,0,0,4.59,6.6597,100000,0,0,Quant,Pattern 95,CN
000967 CH Equity,2022-04-29,SELL,盈峰环境,-156330,0,0,4.26,6.6597,100000,0,0,Quant,Pattern 95,CN
000968 CH Equity,2022-04-29,SELL,蓝焰控股,-61549,0,0,10.82,6.6597,100000,0,0,Quant,Pattern 95,CN
000970 CH Equity,2022-04-29,SELL,中科三环,-64158,0,0,10.38,6.6597,100000,0,0,Quant,Pattern 95,CN
